time,o_taz,d_taz,total
17,21510120,21510330,236.449
17,21510120,26510110,473.975
17,21510120,26510130,312.414
17,21510120,26510310,388.581
17,21510130,21510111,437.608
17,21510130,21510120,603.345
17,21510130,21510130,3770.72
17,21510130,21510330,543.138
17,21510130,26510110,751.369
17,21510130,26510130,521.588
17,21510130,26510310,555.126
17,21510330,21510111,232.61
17,21510330,21510120,95.1586
17,21510330,21510130,585.431
17,21510330,21510330,703.689
17,21510330,26510110,402.926
17,21510330,26510130,219.949
17,21510330,26510310,182.842
17,26510110,21510111,234.765
17,26510110,21510120,254.901
17,26510110,21510130,623.077
17,26510110,21510330,316.118
17,26510110,26510110,1969.84
17,26510110,26510130,656.278
17,26510110,26510310,380.971
17,26510130,21510111,246.483
17,26510130,21510120,261.366
17,26510130,21510130,554.991
17,26510130,21510330,244.732
17,26510130,26510110,935.625
17,26510130,26510130,1171.54
17,26510130,26510310,408.583
17,26510310,21510111,262.107
17,26510310,21510120,276.317
17,26510310,21510130,499.701
17,26510310,21510330,169.71
17,26510310,26510110,455.118
17,26510310,26510130,328.038
17,26510310,26510310,752.245
18,21510111,21510111,1302.54
18,21510111,21510120,357.745
18,21510111,21510130,831.959
18,21510111,21510330,323.247
18,21510111,26510110,568.23
18,21510111,26510130,369.577
18,21510111,26510310,363.519
18,21510120,21510111,357.246
18,21510120,21510120,1208.45
18,21510120,21510130,707.008
18,21510120,21510330,250.258
18,21510120,26510110,501.656
18,21510120,26510130,330.659
18,21510120,26510310,411.275
18,21510130,21510111,463.166
18,21510130,21510120,638.581
18,21510130,21510130,3990.94
18,21510130,21510330,574.859
18,21510130,26510110,795.251
18,21510130,26510130,552.049
18,21510130,26510310,587.546
18,21510330,21510111,246.195
18,21510330,21510120,100.716
18,21510330,21510130,619.621
18,21510330,21510330,744.786
18,21510330,26510110,426.457
18,21510330,26510130,232.795
18,21510330,26510310,193.52
18,26510110,21510111,248.476
18,26510110,21510120,269.788
18,26510110,21510130,659.466
18,26510110,21510330,334.58
18,26510110,26510110,2084.89
18,26510110,26510130,694.606
18,26510110,26510310,403.221
18,26510130,21510111,260.878
18,26510130,21510120,276.631
18,26510130,21510130,587.404
18,26510130,21510330,259.025
18,26510130,26510110,990.268
18,26510130,26510130,1239.96
18,26510130,26510310,432.445
18,26510310,21510111,277.415
18,26510310,21510120,292.454
18,26510310,21510130,528.884
18,26510310,21510330,179.621
18,26510310,26510110,481.698
18,26510310,26510130,347.196
18,26510310,26510310,796.177
19,21510111,21510111,1254.71
19,21510111,21510120,344.61
19,21510111,21510130,801.411
19,21510111,21510330,311.378
19,21510111,26510110,547.365
19,21510111,26510130,356.007
19,21510111,26510310,350.171
19,21510120,21510111,344.129
19,21510120,21510120,1164.08
19,21510120,21510130,681.048
19,21510120,21510330,241.069
19,21510120,26510110,483.236
19,21510120,26510130,318.518
19,21510120,26510310,396.174
19,21510130,21510111,446.159
19,21510130,21510120,615.134
19,21510130,21510130,3844.4
19,21510130,21510330,553.751
19,21510130,26510110,766.051
19,21510130,26510130,531.779
19,21510130,26510310,565.973
19,21510330,21510111,237.155
19,21510330,21510120,97.018
19,21510330,21510130,596.87
19,21510330,21510330,717.439
19,21510330,26510110,410.799
19,21510330,26510130,224.247
19,21510330,26510310,186.415
19,26510110,21510111,239.352
19,26510110,21510120,259.882
19,26510110,21510130,635.252
19,26510110,21510330,322.295
19,26510110,26510110,2008.33
19,26510110,26510130,669.101
19,26510110,26510310,388.415
19,26510130,21510111,251.299
19,26510130,21510120,266.473
19,26510130,21510130,565.835
19,26510130,21510330,249.514
19,26510130,26510110,953.907
19,26510130,26510130,1194.43
